Num	Sample	Cell_Subtype	Cell_Type
207	PT089_P9_B06_S114	epithelial	Epithelial
208	PT089_P9_B07_S115	epithelial	Epithelial
209	PT089_P9_B08_S116	stroma	Stroma
210	PT089_P9_B09_S117	epithelial	Epithelial
211	PT089_P9_B10_S118	epithelial	Epithelial
212	PT089_P9_B11_S119	epithelial	Epithelial
213	PT089_P9_B12_S120	epithelial	Epithelial
214	PT089_P9_C01_S121	Bcell	Immune
215	PT089_P9_C02_S122	epithelial	Epithelial
216	PT089_P9_C03_S123	epithelial	Epithelial
217	PT089_P9_C04_S124	epithelial	Epithelial
218	PT089_P9_C05_S125	epithelial	Epithelial
219	PT089_P9_C06_S126	epithelial	Epithelial
220	PT089_P9_C07_S127	epithelial	Epithelial
221	PT089_P9_C08_S128	stroma	Stroma
222	PT089_P9_C09_S129	epithelial	Epithelial
223	PT089_P9_C10_S130	epithelial	Epithelial
224	PT089_P9_C11_S131	stroma	Stroma
225	PT089_P9_C12_S132	epithelial	Epithelial
226	PT089_P9_D01_S133	stroma	Stroma
227	PT089_P9_D02_S134	epithelial	Epithelial
228	PT089_P9_D03_S135	epithelial	Epithelial
229	PT089_P9_D04_S136	stroma	Stroma
230	PT089_P9_D05_S137	epithelial	Epithelial
231	PT089_P9_D06_S138	epithelial	Epithelial
232	PT089_P9_D07_S139	epithelial	Epithelial
233	PT089_P9_D08_S140	epithelial	Epithelial
234	PT089_P9_D09_S141	stroma	Stroma
235	PT089_P9_D10_S142	epithelial	Epithelial
236	PT089_P9_D11_S143	epithelial	Epithelial
237	PT089_P9_D12_S144	epithelial	Epithelial
238	PT089_P9_E01_S145	epithelial	Epithelial
239	PT089_P9_E02_S146	stroma	Stroma
240	PT089_P9_E03_S147	epithelial	Epithelial
241	PT089_P9_E04_S148	epithelial	Epithelial
242	PT089_P9_E05_S149	stroma	Stroma
243	PT089_P9_E06_S150	epithelial	Epithelial
244	PT089_P9_E07_S151	epithelial	Epithelial
245	PT089_P9_E08_S152	endothelial	Endothelial
246	PT089_P9_E09_S153	stroma	Stroma
247	PT089_P9_E10_S154	epithelial	Epithelial
248	PT089_P9_E11_S155	epithelial	Epithelial
249	PT089_P9_E12_S156	epithelial	Epithelial
250	PT089_P9_F01_S157	stroma	Stroma
251	PT089_P9_F02_S158	epithelial	Epithelial
252	PT089_P9_F03_S159	epithelial	Epithelial
253	PT089_P9_F04_S160	epithelial	Epithelial
254	PT089_P9_F05_S161	epithelial	Epithelial
255	PT089_P9_F06_S162	epithelial	Epithelial
256	PT089_P9_F07_S163	epithelial	Epithelial
257	PT089_P9_F08_S164	epithelial	Epithelial
258	PT089_P9_F09_S165	epithelial	Epithelial
259	PT089_P9_F11_S167	epithelial	Epithelial
260	PT089_P9_G01_S169	epithelial	Epithelial
261	PT089_P9_G02_S170	stroma	Stroma
262	PT089_P9_G03_S171	epithelial	Epithelial
263	PT089_P9_G04_S172	epithelial	Epithelial
264	PT089_P9_G05_S173	epithelial	Epithelial
265	PT089_P9_G06_S174	epithelial	Epithelial
266	PT089_P9_G07_S175	stroma	Stroma
267	PT089_P9_G08_S176	epithelial	Epithelial
268	PT089_P9_G09_S177	epithelial	Epithelial
269	PT089_P9_G10_S178	epithelial	Epithelial
270	PT089_P9_G11_S179	epithelial	Epithelial
271	PT089_P9_G12_S180	epithelial	Epithelial
272	PT089_P9_H01_S181	stroma	Stroma
273	PT089_P9_H02_S182	epithelial	Epithelial
274	PT089_P9_H03_S183	epithelial	Epithelial
275	PT089_P9_H04_S184	epithelial	Epithelial
276	PT089_P9_H05_S185	epithelial	Epithelial
277	PT089_P9_H06_S186	epithelial	Epithelial
278	PT089_P9_H07_S187	Bcell	Immune
279	PT089_P9_H09_S189	epithelial	Epithelial
280	PT089_P9_H10_S190	epithelial	Epithelial
281	PT089_P9_H11_S191	epithelial	Epithelial
282	PT089_P9_H12_S192	epithelial	Epithelial
283	PT039_P11_A01_S1	epithelial	Epithelial
284	PT039_P11_A02_S2	epithelial	Epithelial
285	PT039_P11_A03_S3	epithelial	Epithelial
286	PT039_P11_A04_S4	epithelial	Epithelial
287	PT039_P11_A07_S7	epithelial	Epithelial
288	PT039_P11_A09_S9	epithelial	Epithelial
289	PT039_P11_A11_S11	epithelial	Epithelial
290	PT039_P11_A12_S12	epithelial	Epithelial
291	PT039_P11_B02_S14	epithelial	Epithelial
292	PT039_P11_B03_S15	epithelial	Epithelial
293	PT039_P11_B04_S16	epithelial	Epithelial
294	PT039_P11_B05_S17	epithelial	Epithelial
295	PT039_P11_B06_S18	stroma	Stroma
296	PT039_P11_B07_S19	epithelial	Epithelial
