Samples	Purity_InfiniumPurify	Purity_ABSOLUTE
TCGA-GM-A2DH-01	0.57	
TCGA-LL-A442-01	0.73	
TCGA-AR-A5QQ-01	0.45	
TCGA-E2-A10E-01	0.77	
TCGA-D8-A1XT-01	0.58	
TCGA-A7-A26E-01	0.66	0.73
TCGA-A2-A0T6-01	0.59	0.55
TCGA-MS-A51U-01	0.51	
TCGA-EW-A1P5-01	0.7	
TCGA-A2-A0YC-01	0.7	
TCGA-BH-A0E1-01	0.76	0.75
TCGA-AC-A2BM-01	0.71	0.57
TCGA-BH-A0DH-01	0.76	0.76
TCGA-A2-A0YM-01	0.7	0.58
TCGA-E2-A1B1-01	0.43	
TCGA-BH-A0B5-01	0.7	
TCGA-E2-A1LH-01	0.53	
TCGA-BH-A0AZ-01	0.62	0.53
TCGA-LL-A7T0-01	0.7	
TCGA-A2-A25F-01	0.33	0.17
TCGA-LL-A5YO-01	0.38	
TCGA-BH-A0HB-01	0.66	0.65
TCGA-B6-A0IK-01	0.57	0.52
TCGA-D8-A27N-01	0.62	
TCGA-LL-A6FQ-01	0.84	
TCGA-D8-A73W-01	0.66	
TCGA-E2-A1LL-01	0.6	
TCGA-E2-A1IG-01	0.74	
TCGA-C8-A274-01	0.8	
TCGA-E9-A3QA-01	0.44	
TCGA-E9-A1N4-01	0.65	
TCGA-AC-A5XS-01	0.58	
TCGA-AN-A0XN-01	0.63	0.47
TCGA-A2-A3XY-01	0.52	
TCGA-EW-A1PD-01	0.61	
TCGA-BH-A0BF-01	0.55	0.42
TCGA-D8-A1XW-01	0.68	
TCGA-A2-A3XV-01	0.65	
TCGA-AC-A2FM-01	0.78	
TCGA-LL-A6FP-01	0.91	
TCGA-GM-A3NW-01	0.69	
TCGA-EW-A1PA-01	0.61	
TCGA-A7-A13E-01	0.85	0.83
TCGA-BH-A0DD-01	0.81	0.79
TCGA-LL-A5YP-01	0.57	
TCGA-GM-A2DN-01	0.49	
TCGA-C8-A1HO-01	0.78	
TCGA-A1-A0SJ-01	0.69	0.61
TCGA-AC-A5XU-01	0.76	
TCGA-E9-A22E-01	0.57	
TCGA-A8-A075-01	0.66	0.52
TCGA-E9-A1R7-01	0.67	
TCGA-LQ-A4E4-01	0.74	
TCGA-D8-A1JG-01	0.58	
TCGA-D8-A1JP-01	0.67	
TCGA-D8-A27L-01	0.54	
TCGA-OL-A5S0-01	0.54	
TCGA-D8-A1XG-01	0.72	
TCGA-GM-A3XG-01	0.4	
TCGA-V7-A7HQ-01	0.68	
TCGA-AR-A1AY-01	0.76	0.79
TCGA-AC-A7VC-01	0.79	
TCGA-B6-A0RE-01	0.73	0.64
TCGA-EW-A2FS-01	0.55	
