Samples	Purity_InfiniumPurify	Purity_ABSOLUTE
TCGA-AR-A1AJ-01	0.47	0.32
TCGA-BH-A209-01	0.54	
TCGA-E2-A1IE-01	0.7	
TCGA-AC-A23C-01	0.55	0.48
TCGA-D8-A1XY-01	0.64	
TCGA-BH-A0BA-01	0.7	0.48
TCGA-D8-A73X-01	0.74	
TCGA-AO-A0JJ-01	0.59	0.51
TCGA-C8-A26X-01	0.53	
TCGA-A7-A3IZ-01	0.84	0.9
TCGA-A7-A6VW-01	0.67	
TCGA-E2-A10B-01	0.68	
TCGA-A1-A0SB-01	0.88	
TCGA-B6-A0WX-01	0.56	0.34
TCGA-GM-A2DB-01	0.51	
TCGA-AR-A24H-01	0.8	0.75
TCGA-A1-A0SH-01	0.53	0.44
TCGA-D8-A1J8-01	0.62	
TCGA-BH-A1FD-01	0.64	
TCGA-LD-A7W6-01	0.65	
TCGA-AR-A24T-01	0.57	
TCGA-BH-A203-01	0.56	
TCGA-A7-A4SA-01	0.52	
TCGA-E9-A249-01	0.73	
TCGA-OL-A5RY-01	0.38	
TCGA-BH-A1F6-01	0.58	
TCGA-E9-A229-01	0.61	
TCGA-BH-A0H7-01	0.77	0.63
TCGA-AR-A24P-01	0.65	0.64
TCGA-EW-A1IW-01	0.57	
TCGA-AR-A2LN-01	0.54	0.42
TCGA-A2-A25D-01	0.62	0.57
TCGA-E9-A245-01	0.71	
TCGA-A2-A0YE-01	0.75	0.66
TCGA-AR-A1AS-01	0.77	0.76
TCGA-S3-A6ZH-01	0.82	
TCGA-E9-A22H-01	0.69	
TCGA-A2-A0T5-01	0.64	0.61
TCGA-AO-A1KT-01	0.69	0.59
TCGA-AQ-A54N-01	0.86	
TCGA-D8-A1XL-01	0.7	
TCGA-BH-A0B2-01	0.6	
TCGA-E2-A14N-01	0.49	
TCGA-B6-A0WT-01	0.7	0.66
TCGA-OL-A6VR-01	0.75	
TCGA-E9-A1N9-01	0.66	
TCGA-D8-A1XO-01	0.63	
TCGA-BH-A0H9-01	0.7	0.35
TCGA-D8-A27K-01	0.61	
TCGA-B6-A0X7-01	0.65	0.58
TCGA-AC-A3QP-01	0.55	
TCGA-D8-A1XR-01	0.81	
TCGA-XX-A89A-01	0.53	
TCGA-E9-A1RG-01	0.72	
