"Epithelial.Basal" "T-Cell" "Adipocyte" "Epithelial-Other" "Macrophage" "CAF" "Epithelial-Her2" "Epithelial-Control" "Epithelial.Luminal"
"TCGA-A7-A13E-01" 0.414417935048834 0.0120758792765859 -1.73472347597681e-18 0.0566717496550009 0.030950228461063 0.0400625178521064 0.0443598879686863 0.309315903577421 0.0921458981603029
"TCGA-A7-A0D9-01" 1.35617331499729e-18 0.0177451276381994 0.120441385666301 0.0506228608757668 -3.03326165679237e-19 0.0367448616028901 0.414692459918886 0.0906203894298679 0.269132914868089
"TCGA-E2-A14R-01" 0.378212984010407 0.0785594889628583 0.00864446750062074 0.195681271130116 0.0744465591405909 0.014471819290618 0.0494538952167127 0.132239283514096 0.0682902312339803
"TCGA-GM-A3XN-01" 0.0606913901905756 0.13700364161369 0.103299800796752 0.204533419016554 0.00149035727286044 0.125883787937525 0.0148303615405728 0.0821443647505489 0.270122876880923
"TCGA-A8-A06Y-01" 0.0626697446141402 1.17778492628291e-18 0 0.0897300376583552 0.0312411537066268 0.0138265100092129 0.0553327569287656 0.171808171484262 0.575391625598637
"TCGA-E2-A1IK-01" 0.066396073984374 0.0790179294672112 0.0364822351082666 0.145080090868937 0.0732848857100306 -2.19707537817829e-20 0.00306886350586504 0.0637233070567287 0.532946614298586
"TCGA-E2-A1IU-01" 0.0265250072739746 0.0541769607661022 0.0106568552386913 0.0768753433388948 0.0438684646545128 0.0168318385927513 0.0521449263125886 0.137197229132922 0.581723374689563
"TCGA-BH-A0E2-01" 0.137442301402338 0.040488313393087 0.0783310192991999 0.099862597802335 0.0154222917830048 0.0856312112311819 0.19498126808009 0.0299185416514924 0.31792245535727
"TCGA-BH-A0B3-11" 0.0184659625645564 0.124368745080313 0.198355950058651 0.0277127063048495 0.0345606174292362 0.011175314573771 0.0514388621582977 0.276218536709837 0.257703305120488
"TCGA-A2-A0CZ-01" 0.039845860083323 0.126358047736081 0.0568210045635985 0.152337962360879 0.00260945964659145 0.267603045689833 0.0617615944532895 0.131791652702551 0.160871372763854
"TCGA-AR-A2LE-01" 0.0197912725721796 0.0734565266062352 0.0357489364438472 0.0581045696890017 0.00418568551472335 0.0263163928069651 0.134077968842803 0.202909065007999 0.445409582516245
"TCGA-A8-A0A1-01" 0.0427227032043732 0.116027532451659 0.0177074779233558 0.0136800318618937 0.145680750895283 0.0860063418069315 0.105038963157546 0.062184097879563 0.410952100819395
"TCGA-E2-A1L7-01" 0.272718242506473 0.134386503545025 0.0410992460606553 0.0817694213607718 0.056553327426874 0.0327043034952286 0.150411206595206 5.03711483518073e-19 0.230357749009767
"TCGA-E2-A14T-01" 0.0510007891941375 0.0230269813679745 0.0315784792403154 0.103356413616263 0.0706830297302289 0.0225425252920609 0.279468412376548 0.0699993905306403 0.348343978651832
"TCGA-AC-A5EH-01" 0.0185544702645307 0.0217878854240025 0.0167439500613115 0.204353913419983 0.0667638994438733 0.151458992480268 0.248173904612976 0.106168698457815 0.16599428583524
"TCGA-GM-A2DM-01" 0.0509728405325533 0.00713611306895593 0.0432464142259541 0.0722760554916626 0.115957496976958 0.00978414147723253 -5.30253943474656e-20 0.113299727918362 0.587327210308322
"TCGA-A2-A0D4-01" 0.123129661178153 0.00616317602190894 0.0469557402314385 0.125840613849682 0 0.00985134963698553 0.297451247602826 0.00474873893499326 0.385859472544012
"TCGA-BH-A0B1-01" 0.0499842681470069 0.0387948107188392 0.0240587350132294 0.0680986280775137 0.0253617237022675 0.0715465529507736 0.244557856908179 0.132034688323987 0.345562736158203
"TCGA-AO-A12F-01" 0.47697922434143 0.0239830638223792 0.0646570104264707 0.107555046881071 0 0.0831870587876548 0.0312298906540458 0.174444417371939 0.0379642877150101
"TCGA-AC-A3HN-01" 0.0486364059726351 0.122581441420732 0.084882400199306 0.106775392468085 0.0476376238066635 0.164412438196661 0.0515852211162971 0.0846297304668535 0.288859346352767
"TCGA-C8-A1HN-01" 0.191511776450148 0.0157635538508996 0.0130256226059195 0.0339212548911413 0.0610316670700042 0.0301569405732327 0.26710122790423 -4.24672825930565e-19 0.387487956654425
"TCGA-A2-A25C-01" 0.120451872193669 0.0681171297966975 0.0401616878117298 0.000277949879847617 0.0338964921353581 0.079103512381246 0.226684345507601 0.0562624791550199 0.375044531138831
"TCGA-E9-A6HE-01" 0.0881957961489529 0.0307685418923635 0.0429617256936995 0.40061907143291 0.0407918958311913 0.0900363927571792 0.0560381686828077 2.4196545509901e-19 0.250588407560896
"TCGA-EW-A6SB-01" 0.333817590265405 0.189420465957858 1.17204242784754e-18 0.29431157809887 0.0758460858759959 -4.33767455299968e-20 -1.64635231337124e-18 0.106604279801871 -1.36560091481568e-19
"TCGA-E9-A1N4-01" 0.0905477212004053 0.078127854582247 0.027064923528884 0 0.14828526686692 0.131405738648953 0.0835529191500375 0.083511897690561 0.357503678331992
"TCGA-B6-A0RH-01" 0.107510502117822 0.000526793699064763 0.0302199490085559 0.369921877736868 0.0224029660068665 0.0867686516644575 0.186460880519049 0.0189518248174604 0.177236554429856
"TCGA-A8-A09N-01" 0.0783990268220476 0.0413100286606645 1.54640073918268e-18 0.0815793380463923 0.0201908927110914 0.0542285315454719 0.332118538820189 0.0618989362442957 0.330274707149847
